Wavelength (nm),Responsivity (mA/W)
400.00,2.09
405.00,2.14
410.00,2.19
415.00,2.24
420.00,2.28
425.00,2.32
430.00,2.36
435.00,2.39
440.00,2.43
445.00,2.46
450.00,2.50
455.00,2.53
460.00,2.56
465.00,2.59
470.00,2.62
475.00,2.65
480.00,2.68
485.00,2.71
490.00,2.74
495.00,2.78
500.00,2.81
505.00,2.84
510.00,2.87
515.00,2.90
520.00,2.93
525.00,2.96
530.00,3.00
535.00,3.03
540.00,3.06
545.00,3.09
550.00,3.12
555.00,3.15
560.00,3.18
565.00,3.21
570.00,3.24
575.00,3.27
580.00,3.30
585.00,3.33
590.00,3.36
595.00,3.39
600.00,3.42
605.00,3.45
610.00,3.48
615.00,3.52
620.00,3.55
625.00,3.58
630.00,3.61
635.00,3.64
640.00,3.68
645.00,3.71
650.00,3.74
655.00,3.78
660.00,3.81
665.00,3.85
670.00,3.88
675.00,3.92
680.00,3.96
685.00,4.00
690.00,4.04
695.00,4.09
700.00,4.14
705.00,4.20
710.00,4.25
715.00,4.32
720.00,4.38
725.00,4.45
730.00,4.52
735.00,4.60
740.00,4.67
745.00,4.74
750.00,4.81
755.00,4.88
760.00,4.96
765.00,5.03
770.00,5.10
775.00,5.17
780.00,5.24
785.00,5.31
790.00,5.37
795.00,5.44
800.00,5.51
805.00,5.58
810.00,5.64
815.00,5.71
820.00,5.78
825.00,5.85
830.00,5.92
835.00,5.99
840.00,6.06
845.00,6.13
850.00,6.21
855.00,6.28
860.00,6.35
865.00,6.42
870.00,6.48
875.00,6.55
880.00,6.63
885.00,6.69
890.00,6.76
895.00,6.82
900.00,6.88
905.00,6.94
910.00,7.00
915.00,7.06
920.00,7.12
925.00,7.19
930.00,7.26
935.00,7.32
940.00,7.38
945.00,7.43
950.00,7.48
955.00,7.52
960.00,7.55
965.00,7.56
970.00,7.56
975.00,7.55
980.00,7.52
985.00,7.47
990.00,7.40
995.00,7.31
1000.00,7.19
1005.00,7.03
1010.00,6.84
1015.00,6.62
1020.00,6.36
1025.00,6.07
1030.00,5.74
1035.00,5.38
1040.00,5.00
1045.00,4.61
1050.00,4.20
1055.00,3.78
1060.00,3.38
1065.00,3.03
1070.00,2.73
1075.00,2.48
1080.00,2.26
1085.00,2.04
1090.00,1.84
1095.00,1.66
1100.00,1.49
